 ----------------------------------- ---------- -------- ------ -------------------------------------------- 
  Name                                Method     Scheme   Host   Path                                        
  setting_delete                      DELETE     ANY      ANY    /admin/setting/{id}                         
  rb_trans_default_index              ANY        ANY      ANY    /trans/                                     
  rb_user_default_index               ANY        ANY      ANY    /u/                                         
  rb_deploy_default_index             ANY        ANY      ANY    /deploy/                                    
  rb_snippets_default_index           ANY        ANY      ANY    /snippets/                                  
  rb_colors_default_index             ANY        ANY      ANY    /colors/                                    
  rb_input                            ANY        ANY      ANY    /admin/input/                               
  rb_input_add                        ANY        ANY      ANY    /admin/input/add                            
  rb_input_load                       ANY        ANY      ANY    /admin/input/load                           
  rb_input_save                       ANY        ANY      ANY    /admin/input/save                           
  rb_input_export                     ANY        ANY      ANY    /admin/input/export                         
  rb_input_proto                      ANY        ANY      ANY    /admin/input/proto                          
  rb_input_front                      ANY        ANY      ANY    /admin/input/rk                             
  rb_input_bundles_scan               ANY        ANY      ANY    /admin/input/find_files                     
  rb_input_editor                     ANY        ANY      ANY    /admin/input/editor                         
  rb_input_editor_files               ANY        ANY      ANY    /admin/input/editor_files                   
  rb_input_editor_load                ANY        ANY      ANY    /admin/input/editor_load                    
  rb_input_editor_save                ANY        ANY      ANY    /admin/input/editor_save                    
  rb_input_editor_preview             ANY        ANY      ANY    /admin/input/editor_preview                 
  rb_input_editor_create              ANY        ANY      ANY    /admin/input/editor_create                  
  fos_user_security_login             GET|POST   ANY      ANY    /login                                      
  fos_user_security_check             POST       ANY      ANY    /login_check                                
  fos_user_security_logout            GET        ANY      ANY    /logout                                     
  fos_user_profile_show               GET        ANY      ANY    /profile/                                   
  fos_user_profile_edit               GET|POST   ANY      ANY    /profile/edit                               
  fos_user_registration_register      GET|POST   ANY      ANY    /register/                                  
  fos_user_registration_check_email   GET        ANY      ANY    /register/check-email                       
  fos_user_registration_confirm       GET        ANY      ANY    /register/confirm/{token}                   
  fos_user_registration_confirmed     GET        ANY      ANY    /register/confirmed                         
  fos_user_resetting_request          GET        ANY      ANY    /resetting/request                          
  fos_user_resetting_send_email       POST       ANY      ANY    /resetting/send-email                       
  fos_user_resetting_check_email      GET        ANY      ANY    /resetting/check-email                      
  fos_user_resetting_reset            GET|POST   ANY      ANY    /resetting/reset/{token}                    
  fos_user_change_password            GET|POST   ANY      ANY    /profile/change-password                    
  fos_js_routing_js                   ANY        ANY      ANY    /js/routing.{_format}                       
 ----------------------------------- ---------- -------- ------ -------------------------------------------- 

